name,label,label::French,region,village_name,supervisor
15,00015 - Maisanho,00015 - Maisanho,MARADI,Maisanho,sup29
162,00162 - Makaoure,00162 - Makaoure,MARADI,Makaoure,sup14
307,00307 - Makayraoua Masko,00307 - Makayraoua Masko,MARADI,Makayraoua Masko,sup15
96,00096 - Makyra (Forr Dan Taori ),00096 - Makyra (Forr Dan Taori ),MARADI,Makyra (Forr Dan Taori ),sup26
90,00090 - MakÃÂ©rawa Abou,00090 - MakÃÂ©rawa Abou,MARADI,MakÃÂ©rawa Abou,sup19
285,00285 - Malali,00285 - Malali,MARADI,Malali,sup21
175,00175 - Malamawa,00175 - Malamawa,MARADI,Malamawa,sup31
253,00253 - Malamey,00253 - Malamey,MARADI,Malamey,sup22
274,00274 - Malloumey,00274 - Malloumey,MARADI,Malloumey,sup23
139,00139 - Marakye,00139 - Marakye,MARADI,Marakye,sup28
173,00173 - Mariga Soufoua,00173 - Mariga Soufoua,MARADI,Mariga Soufoua,sup18
29,00029 - Masko,00029 - Masko,MARADI,Masko,sup18
32,00032 - May Dan Sanfo,00032 - May Dan Sanfo,MARADI,May Dan Sanfo,sup14
161,00161 - May Gaoude,00161 - May Gaoude,MARADI,May Gaoude,sup14
299,00299 - Maylafia,00299 - Maylafia,MARADI,Maylafia,sup16
120,00120 - Maymoulaki,00120 - Maymoulaki,MARADI,Maymoulaki,sup15
304,00304 - Mayrakomma,00304 - Mayrakomma,MARADI,Mayrakomma,sup16
229,00229 - Maysintchia,00229 - Maysintchia,MARADI,Maysintchia,sup25
206,00206 - Maysirda,00206 - Maysirda,MARADI,Maysirda,sup28
238,00238 - Mazaouda,238 - Mazaouda,MARADI,Mazaouda,sup22
13,00013 - Mourin Dan Farou,00013 - Mourin Dan Farou,MARADI,Mourin Dan Farou,sup29
147,00147 - Nagouida,00147 - Nagouida,MARADI,Nagouida,sup17
39,00039 - Naki Fada,00039 - Naki Fada,MARADI,Naki Fada,sup30
222,00222 - Nwalla Dan Marke,00222 - Nwalla Dan Marke,MARADI,Nwalla Dan Marke,sup26
240,00240 - Obandawaki Nasale,00240 - Obandawaki Nasale,MARADI,Obandawaki Nasale,sup26
219,00219 - Oubandawaki ,00219 - Oubandawaki ,MARADI,Oubandawaki ,sup28
294,00294 - Radi,00294 - Radi,MARADI,Radi,sup20
122,00122 - Rahim Damou,00122 - Rahim Damou,MARADI,Rahim Damou,sup15
26,00026 - Rigia Riga,00026 - Rigia Riga,MARADI,Rigia Riga,sup14
91,00091 - Riskiskama Mandou,00091 - Riskiskama Mandou,MARADI,Riskiskama Mandou,sup19
166,00166 - Robibya,00166 - Robibya,MARADI,Robibya,sup14
214,00214 - Rouan Danya,00214 - Rouan Danya,MARADI,Rouan Danya,sup21
109,00109 - Roumawa,00109 - Roumawa,MARADI,Roumawa,sup14
195,00195 - Roumbou Tchike,00195 - Roumbou Tchike,MARADI,Roumbou Tchike,sup30
210,00210 - Sabare,00210 - Sabare,MARADI,Sabare,sup28
148,00148 - Sae Rankama,00148 - Sae Rankama,MARADI,Sae Rankama,sup17
254,00254 - Saje Biri,00254 - Saje Biri,MARADI,Saje Biri,sup22
83,00083 - Salifawa,00083 - Salifawa,MARADI,Salifawa,sup21
153,00153 - Samia Bakoye,00153 - Samia Bakoye,MARADI,Samia Bakoye,sup14
84,00084 - San Gayou,00084 - San Gayou,MARADI,San Gayou,sup26
107,00107 - Sansanawa,00107 - Sansanawa,MARADI,Sansanawa,sup22
60,00060 - Sansanawa Wada,00060 - Sansanawa Wada,MARADI,Sansanawa Wada,sup28
312,312 - Soumba,312 - Soumba,MARADI,Soumba,sup17
12,00012 - Soumbitta,00012 - Soumbitta,MARADI,Soumbitta,sup29
283,00283 - Tabani,00283 - Tabani,MARADI,Tabani,sup22
290,00290 - Tabazo,00290 - Tabazo,MARADI,Tabazo,sup20
