name,label,label::French,label::English,region,department,commune,village_name,supervisors
129,00129 - Guidan Guingama,00129 - Guidan Guingama,00129 - Guidan Guingama,MARADI,tessaoua,ourafane_south,Guidan Guingama,sup28
133,00133 - Guidan Jigo,00133 - Guidan Jigo,00133 - Guidan Jigo,MARADI,mayahi,mayahi_north,Guidan Jigo,sup22
216,00216 - Guidan Jiji,00216 - Guidan Jiji,00216 - Guidan Jiji,MARADI,mayahi,mayahi,Guidan Jiji,sup21
165,00165 - Guidan Kanda + Ignadou,00165 - Guidan Kanda + Ignadou,00165 - Guidan Kanda + Ignadou,MARADI,gazaoua,gazaoua,Guidan Kanda + Ignadou,sup14
87,00087 - Guidan Kani,00087 - Guidan Kani,00087 - Guidan Kani,MARADI,tessaoua,ourafane_north,Guidan Kani,sup25
233,00233 - Guidan Kawra,00233 - Guidan Kawra,00233 - Guidan Kawra,MARADI,tessaoua,ourafane_north,Guidan Kawra,sup25
218,00218 - Guidan Maida,00218 - Guidan Maida,00218 - Guidan Maida,MARADI,mayahi,mayahi,Guidan Maida,sup20
207,00207 - Guidan Manzo,00207 - Guidan Manzo,00207 - Guidan Manzo,MARADI,tessaoua,ourafane_south,Guidan Manzo,sup28
143,00143 - Guidan Nahantchi,00143 - Guidan Nahantchi,00143 - Guidan Nahantchi,MARADI,dakoro,dakoro_south,Guidan Nahantchi,sup26
308,00308 - Guidan Rabo,00308 - Guidan Rabo,00308 - Guidan Rabo,MARADI,dakoro,bader_goula,Guidan Rabo,sup15
100,00100 - Guidan Sallao,00100 - Guidan Sallao,00100 - Guidan Sallao,MARADI,aguie,tchadoua,Guidan Sallao,sup30
134,00134 - Guidan Taye,00134 - Guidan Taye,00134 - Guidan Taye,MARADI,mayahi,mayahi_north,Guidan Taye,sup22
242,00242 - Guidan Toulotou,00242 - Guidan Toulotou,00242 - Guidan Toulotou,MARADI,dakoro,dan_goulbi,Guidan Toulotou,sup26
140,00140 - Guidan Wadel,00140 - Guidan Wadel,00140 - Guidan Wadel,MARADI,mayahi,mayahi_north,Guidan Wadel,sup22
36,00036 - Guidan Zoudi,00036 - Guidan Zoudi,00036 - Guidan Zoudi,MARADI,aguie,tchadoua,Guidan Zoudi,sup30
164,00164 - Guidan Zougaou,00164 - Guidan Zougaou,00164 - Guidan Zougaou,MARADI,gazaoua,gazaoua,Guidan Zougaou,sup14
19,00019 - Guidane akali,00019 - Guidane akali,00019 - Guidane akali,MARADI,guidan_roumji,guidan_roumji,Guidane akali,sup18
9,00009 - Guidane Alkou,00009 - Guidane Alkou,00009 - Guidane Alkou,MARADI,aguie,tchadoua,Guidane Alkou,sup29
270,00270 - Guidane Atchi,00270 - Guidane Atchi,00270 - Guidane Atchi,MARADI,mayahi,mayahi_north,Guidane Atchi,sup23
281,00281 - Guidane Atto,00281 - Guidane Atto,00281 - Guidane Atto,MARADI,mayahi,mayahi_west,Guidane Atto,sup23
192,00192 - Guidane Bagaouri,00192 - Guidane Bagaouri,00192 - Guidane Bagaouri,MARADI,aguie,tchadoua,Guidane Bagaouri,sup30
17,00017 - Guidane Baje,00017 - Guidane Baje,00017 - Guidane Baje,MARADI,gazaoua,gazaoua,Guidane Baje,sup29
310,00310 - Guidane Barmo,00310 - Guidane Barmo,00310 - Guidane Barmo,MARADI,dakoro,kornaka,Guidane Barmo,sup19
273,00273 - Guidane Basso,00273 - Guidane Basso,00273 - Guidane Basso,MARADI,mayahi,mayahi,Guidane Basso,sup22
73,00073 - Guidane Bizoo Dan Bako,00073 - Guidane Bizoo Dan Bako,00073 - Guidane Bizoo Dan Bako,MARADI,dakoro,dakoro_south,Guidane Bizoo Dan Bako,sup26
277,00277 - Guidane boune,00277 - Guidane boune,00277 - Guidane boune,MARADI,mayahi,mayahi_west,Guidane boune,sup23
203,00203 - Guidane Bouzou,00203 - Guidane Bouzou,00203 - Guidane Bouzou,MARADI,aguie,tchadoua,Guidane Bouzou,sup16
27,00027 - Guidane Chantali,00027 - Guidane Chantali,00027 - Guidane Chantali,MARADI,gazaoua,gazaoua,Guidane Chantali,sup14
92,00092 - Guidane Gari Saboua,00092 - Guidane Gari Saboua,00092 - Guidane Gari Saboua,MARADI,dakoro,kornaka,Guidane Gari Saboua,sup19
24,00024 - Guidane Gobro,00024 - Guidane Gobro,00024 - Guidane Gobro,MARADI,guidan_roumji,guidan_roumji,Guidane Gobro,sup18
262,00262 - Guidane Hankourou,00262 - Guidane Hankourou,00262 - Guidane Hankourou,MARADI,mayahi,mayahi_west,Guidane Hankourou,sup23
188,00188 - Guidane Jalo,00188 - Guidane Jalo,00188 - Guidane Jalo,MARADI,mayahi,mayahi_south,Guidane Jalo,sup23
271,00271 - Guidane Kiabe,00271 - Guidane Kiabe,00271 - Guidane Kiabe,MARADI,mayahi,mayahi_north,Guidane Kiabe,sup22
201,00201 - Guidane Kibia,00201 - Guidane Kibia,00201 - Guidane Kibia,MARADI,aguie,tchadoua,Guidane Kibia,sup31
105,00105 - Guidane lale bakane,00105 - Guidane lale bakane,00105 - Guidane lale bakane,MARADI,mayahi,mayahi_middle,Guidane lale bakane,sup21
194,00194 - Guidane Lihida,00194 - Guidane Lihida,00194 - Guidane Lihida,MARADI,mayahi,mayahi_south,Guidane Lihida,sup27
97,00097 - Guidane Louche,00097 - Guidane Louche,00097 - Guidane Louche,MARADI,mayahi,mayahi,Guidane Louche,sup20
296,00296 - Guidane malam bakoye,00296 - Guidane malam bakoye,00296 - Guidane malam bakoye,MARADI,mayahi,mayahi,Guidane malam bakoye,sup20
279,00279 - Guidane Miko,00279 - Guidane Miko,00279 - Guidane Miko,MARADI,mayahi,mayahi_west,Guidane Miko,sup27
67,00067 - Guidane Moussa Koundou,00067 - Guidane Moussa Koundou,00067 - Guidane Moussa Koundou,MARADI,dakoro,dakoro_south,Guidane Moussa Koundou,sup26
20,00020 - Guidane Nakaoura,00020 - Guidane Nakaoura,00020 - Guidane Nakaoura,MARADI,mayahi,mayahi_middle,Guidane Nakaoura,sup20
16,00016 - Guidane Roro,00016 - Guidane Roro,00016 - Guidane Roro,MARADI,gazaoua,gazaoua,Guidane Roro,sup29
62,00062 - Guidane Tangno,00062 - Guidane Tangno,00062 - Guidane Tangno,MARADI,dakoro,dakoro,Guidane Tangno,sup26
154,00154 - guidane tangno,00154 - guidane tangno,00154 - guidane tangno,MARADI,gazaoua,gazaoua,Guidane Tangno,sup14
287,00287 - Guidane Yarima,00287 - Guidane Yarima,00287 - Guidane Yarima,MARADI,mayahi,mayahi,Guidane Yarima,sup20
282,00282 - Guidane zoudi,00282 - Guidane zoudi,00282 - Guidane zoudi,MARADI,mayahi,mayahi_middle,Guidane zoudi,sup21
76,00076 - Guintichire,00076 - Guintichire,00076 - Guintichire,MARADI,dakoro,dakoro_south,Guintichire,sup26
284,00284 - Halbawa  Goula,00284 - Halbawa  Goula,00284 - Halbawa  Goula,MARADI,mayahi,mayahi_middle,Halbawa  Goula,sup21
305,00305 - Hamidan,00305 - Hamidan,00305 - Hamidan,MARADI,dakoro,bader_goula,Hamidan,sup15
205,00205 - Hankaka,00205 - Hankaka,00205 - Hankaka,MARADI,mayahi,mayahi_south,Hankaka,sup27
288,00288 - Haouken Sara,00288 - Haouken Sara,00288 - Haouken Sara,MARADI,mayahi,mayahi,Haouken Sara,sup20
42,00042 - Hawre Daoudde,00042 - Hawre Daoudde,00042 - Hawre Daoudde,MARADI,dakoro,bader_goula,Hawre Daoudde,sup15
43,00043 - Ibbo,00043 - Ibbo,00043 - Ibbo,MARADI,dakoro,bader_goula,Ibbo,sup15
82,00082 - In Walla,00082 - In Walla,00082 - In Walla,MARADI,mayahi,mayahi,In Walla,sup20
193,00193 - In Walla Na Jiga,00193 - In Walla Na Jiga,00193 - In Walla Na Jiga,MARADI,tessaoua,tessaoua,In Walla Na Jiga,sup31
99,00099 - Ingawa,00099 - Ingawa,00099 - Ingawa,MARADI,mayahi,mayahi_north,Ingawa,sup22
59,00059 - Inguididey,00059 - Inguididey,00059 - Inguididey,MARADI,tessaoua,ourafane_south,Inguididey,sup28
89,00089 - Inwalla Rigia Jibo,00089 - Inwalla Rigia Jibo,00089 - Inwalla Rigia Jibo,MARADI,tessaoua,ourafane_south,Inwalla Rigia Jibo,sup28
319,00319 - Inyalwa,00319 - Inyalwa,00319 - Inyalwa,MARADI,tessaoua,ourafane_north,Inyalwa,sup25
156,00156 - Jean Roua,00156 - Jean Roua,00156 - Jean Roua,MARADI,gazaoua,gazaoua,Jean Roua,sup29
149,00149 - Jembali,00149 - Jembali,00149 - Jembali,MARADI,dakoro,dan_goulbi,Jembali,sup17
275,00275 - Jimke School,00275 - Jimke School,00275 - Jimke School,MARADI,mayahi,mayahi_north,Jimke School,sup22
132,00132 - Jumina,00132 - Jumina,00132 - Jumina,MARADI,mayahi,mayahi_north,Jumina,sup22
