name,village_name,region,department,commune,supervisor
71,Kakali,MARADI,dakoro,dakoro_south,sup26
112,Kakou Tisalaou,MARADI,mayahi,mayahi_south,sup22
77,Kandala,MARADI,dakoro,dakoro_north,sup26
286,Kankaren Dogo,MARADI,mayahi,mayahi_middle,sup21
264,Kankaren Gakoy,MARADI,mayahi,mayahi_west,sup21
208,Karam Karam,MARADI,tessaoua,ourafane_south,sup28
1,Karoubouni,MARADI,aguie,tchadoua,sup30
266,Katare,MARADI,mayahi,mayahi_west,sup23
247,Katari Dan Makaou,MARADI,dakoro,dan_goulbi,sup17
141,Kawanya,MARADI,tessaoua,ourafane_south,sup31
293,Kawfasamo,MARADI,mayahi,mayahi,sup20
204,Kdadkaye,MARADI,aguie,tchadoua,sup30
142,Kelewei,MARADI,tessaoua,tessaoua,sup28
108,Koligoti,MARADI,dakoro,dakoro,sup26
11,Kongomi,MARADI,gazaoua,gazaoua,sup14
57,kordosso,MARADI,guidan_roumji,guidan_roumji,sup18
169,Kori',MARADI,tessaoua,tessaoua,sup31
292,kotia,MARADI,mayahi,mayahi,sup20
167,Koubdo Soboua,MARADI,tessaoua,tessaoua,sup31
35,Koubdo Soufoua,MARADI,tessaoua,tessaoua,sup31
300,Kouka Dan Houwa,MARADI,bermo,bermo,sup16
23,kouka kawadi,MARADI,guidan_roumji,guidan_roumji,sup18
199,Koukou Yousoufou,MARADI,tessaoua,tessaoua,sup31
116,Kouletche Safoa,MARADI,tessaoua,ourafane_north,sup25
85,Koumtchi,MARADI,tessaoua,ourafane_south,sup28
45,Koutchatcha,MARADI,dakoro,dakoro_south,sup26
244,Laoudi Saoudi,MARADI,dakoro,dan_goulbi,sup17
31,Laouni,MARADI,gazaoua,gazaoua,sup14
155,Lebo Sofoua,MARADI,gazaoua,gazaoua,sup14
160,Limbidoua (Jimbidaoua),MARADI,gazaoua,gazaoua,sup14
25,Madaoua Milli,MARADI,gazaoua,gazaoua,sup14
213,Mai Kassoua,MARADI,mayahi,mayahi,sup21
168,Maiguizawa Kangnou,MARADI,aguie,tchadoua,sup30
58,Maimagaria,MARADI,gazaoua,gazaoua,sup14
15,Maisanho,MARADI,gazaoua,gazaoua,sup29
162,Makaoure,MARADI,gazaoua,gazaoua,sup14
307,Makayraoua Masko,MARADI,dakoro,bader_goula,sup15
96,Makyra (Forr Dan Taori ),MARADI,dakoro,kornaka,sup26
90,MakÃÂ©rawa Abou,MARADI,dakoro,kornaka,sup19
285,Malali,MARADI,mayahi,mayahi_middle,sup21
175,Malamawa,MARADI,tessaoua,tessaoua,sup31
